,Timestamp,Accel,Gyr,Label,Sep
4,13:25:39.266239,[-1061   818  1367   496    72   214  -315   773  1529],[ 546 -605  156 1686 -864  -28 -165 -255  -16],fists,False
5,13:25:39.275606,[-888  824 1343  496   72  214 -261  814 1503],[ 553 -187  270 2346 -926   68 -165 -255  -16],fists,False
6,13:25:39.285343,[-453  890 1173  496   72  214  132  761 1307],[ 578  -44  211 2167 -778   25 -103 -298    3],fists,False
7,13:25:39.292718,[-183  917  959  496   72  214  202 1189  883],[  402   117    50  1954 -1049  -128  -103  -298     3],fists,False
8,13:25:39.301607,[ 220 1126  723  589   86  332  394 1476 1406],[-376  434 -225 1897 -604 -147 -103 -298    3],fists,False
9,13:25:39.310092,[ 357 1047 1111  589   86  332 -307  833 2160],[-598  570 -454 1697 -923  257 -103 -298    3],fists,False
10,13:25:39.318979,[ -89  861 1630  589   86  332 -796  675 1862],[-334 -116 -608 1688 -900 -137 -103 -298    3],fists,False
11,13:25:39.328093,[-778  695 1951  589   86  332 -590  694 1857],[-182 -387 -522 1670 -838   64   67  -75  120],fists,False
12,13:25:39.336454,[-1527   845  2019   589    86   332  -334   617  2252],[-118  -95 -363 1794 -857  -16   67  -75  120],fists,False
13,13:25:39.345316,[-1788   938  1939   586   -14   422  -541   587  2202],[  57  268 -204 1958 -704   10   67  -75  120],fists,False
14,13:25:39.353662,[-1766   878  1864   586   -14   422  -822   613  2113],[ 144  358  -49 1909 -661    6   67  -75  120],fists,False
15,13:25:39.362360,[-1417   849  1761   586   -14   422  -834   635  2135],[ 110  109   -8 1944 -709   88   67  -75  120],fists,False
16,13:25:39.371885,[-1212   830  1726   586   -14   422  -794   677  2028],[ 153 -207  -92 2009 -607  206  161  280  102],fists,False
17,13:25:39.380458,[-1136   871  1613   586   -14   422  -745   674  1920],[ 134 -328  -96 2098 -740  318  161  280  102],fists,False
18,13:25:39.389199,[-1121   908  1411   367    31   166  -681   701  1861],[  29 -212  -32 2271 -689  414  161  280  102],fists,False
19,13:25:39.396943,[-1114   869  1425   367    31   166  -576   744  1747],[ -99  -30   53 2371 -764  523  161  280  102],fists,False
20,13:25:39.406239,[-1020   865  1384   367    31   166  -574   809  1606],[-265  130   82 2378 -744  684  -68  226  -13],fists,False
21,13:25:39.414518,[-914  922 1205  367   31  166 -580  857 1564],[-544  262   78 2537 -768  452  -68  226  -13],fists,False
22,13:25:39.423329,[-886  880 1282  145  106 -125 -506  730 1749],[-796  340   53 2406 -835  279  -68  226  -13],fists,False
23,13:25:39.432656,[-875  798 1458  145  106 -125 -388  747 1790],[-850  371  -51 1938 -869  204  -68  226  -13],fists,False
24,13:25:39.442052,[-753  776 1853  145  106 -125  -33  858 2135],[-775  373 -197 2074 -712   75  -68  226  -13],fists,False
25,13:25:39.450140,[-594  589 2379  145  106 -125 -361  480 2340],[-646  640 -280 3704 -623  517 -246  -14 -101],fists,False
